,country,year,co2,co2_per_gdp,share_global_co2,co2_per_capita,co2_per_unit_energy,primary_energy_consumption,energy_per_capita,energy_per_gdp,population,gdp,group1,group2,group3,group4,group5,growth_co2,growth_primary_energy,growth_pop,growth_co2_per_gdp,growth_co2_per_capita,growth_energy_per_gdp,growth_energy_per_capita
54,Belgium,1990,120.309,0.51,0.53,12.023,0.194,620.979,62054.453,2.631,10007000.0,236000000000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Belgium,1991,123.382,0.508,0.533,12.29,0.192,642.606,64010.993,2.644,10039000.0,243000000000.0,0.0,1.0,0.0,1.0,0.0,0.025542561238145172,0.034827264690110216,0.003197761566903168,-0.003921568627450984,0.022207435748149335,0.031529405311170836,0.004941087039148744
56,Belgium,1992,122.508,0.477,0.546,12.156,0.191,640.136,63518.143,2.491,10078000.0,257000000000.0,0.0,1.0,0.0,1.0,0.0,0.01827793431912823,0.030849674465642032,0.007095033476566403,-0.06470588235294124,0.011062130915744896,0.023587187207983206,-0.05321170657544648
57,Belgium,1993,121.444,0.474,0.535,12.002,0.193,630.089,62267.953,2.461,10119000.0,256000000000.0,0.0,1.0,0.0,1.0,0.0,0.009434040678586017,0.014670383378503965,0.011192165484161087,-0.0705882352941177,-0.0017466522498543642,0.0034405266613179233,-0.06461421512732798
58,Belgium,1994,124.817,0.467,0.546,12.29,0.188,665.646,65542.1,2.493,10156000.0,267000000000.0,0.0,1.0,0.0,1.0,0.0,0.03747018095071853,0.07192996864628258,0.014889577295892875,-0.08431372549019604,0.022207435748149335,0.05620300931506083,-0.05245153933865447
59,Belgium,1995,125.956,0.456,0.54,12.366,0.188,671.426,65916.53,2.433,10186000.0,276000000000.0,0.0,1.0,0.0,1.0,0.0,0.04693746934975775,0.08123785184362112,0.017887478764864594,-0.10588235294117646,0.028528653414289278,0.062236903449942545,-0.07525655644241733
60,Belgium,1996,129.497,0.476,0.538,12.686,0.181,713.924,69937.7,2.625,10208000.0,272000000000.0,0.0,1.0,0.0,1.0,0.0,0.07637001388092343,0.14967494875027967,0.020085939842110524,-0.06666666666666672,0.055144306745404666,0.1270375713407706,-0.0022805017103762005
61,Belgium,1997,124.002,0.425,0.513,12.128,0.172,719.976,70420.184,2.466,10224000.0,292000000000.0,0.0,1.0,0.0,1.0,0.0,0.03069595790838589,0.15942084998043404,0.021684820625562106,-0.1666666666666667,0.008733261249272263,0.13481274260849568,-0.06271379703534763
62,Belgium,1998,130.227,0.427,0.54,12.721,0.177,734.746,71773.605,2.409,10237000.0,305000000000.0,0.0,1.0,0.0,1.0,0.0,0.08243772286362622,0.18320587330650462,0.02298391126211652,-0.16274509803921572,0.05805539382849542,0.15662295822670444,-0.08437856328392246
63,Belgium,1999,124.719,0.39,0.51,12.162,0.171,728.214,71010.601,2.276,10255000.0,320000000000.0,0.0,1.0,0.0,1.0,0.0,0.03665561179961596,0.17268699907726348,0.02478265214349955,-0.23529411764705882,0.01156117441570333,0.1443272411087081,-0.13492968453059673
