,index,Country,Year,GHG
395,13494,Australia,2008,0.599
396,13495,Australia,2009,0.591
397,13496,Australia,2010,0.573
398,13497,Australia,2011,0.554
399,13498,Australia,2012,0.542
400,13499,Australia,2013,0.519
401,13500,Australia,2014,0.502
402,13501,Australia,2015,0.496
403,13502,Australia,2016,0.496
404,13503,Australia,2017,0.488
405,13504,Australia,2018,0.475
406,14987,Australia,1990,192652.628
407,14988,Australia,1991,174152.407
408,14989,Australia,1992,111436.684
409,14990,Australia,1993,93185.529
410,14991,Australia,1994,82739.519
411,14992,Australia,1995,58937.213
412,14993,Australia,1996,60220.058
413,14994,Australia,1997,53327.545
414,14995,Australia,1998,33704.524
415,14996,Australia,1999,45190.984
416,14997,Australia,2000,56003.118
417,14998,Australia,2001,78965.377
418,14999,Australia,2002,66584.677
419,15000,Australia,2003,80422.576
420,15001,Australia,2004,66360.506
421,15002,Australia,2005,91008.633
422,15003,Australia,2006,84063.503
423,15004,Australia,2007,97714.699
424,15005,Australia,2008,82687.947
425,15006,Australia,2009,71906.057
426,15007,Australia,2010,52966.144
427,15008,Australia,2011,30517.002
428,15009,Australia,2012,10600.595
429,15010,Australia,2013,5621.188
430,15011,Australia,2014,9328.508
431,15012,Australia,2015,202.362
432,15013,Australia,2016,-22714.19
433,15014,Australia,2017,-27125.746
434,15015,Australia,2018,-20600.827
435,16263,Australia,1990,36256.187
436,16264,Australia,1991,35791.435
437,16265,Australia,1992,35344.091
438,16266,Australia,1993,35927.048
439,16267,Australia,1994,36718.485
440,16268,Australia,1995,37662.47
441,16269,Australia,1996,37695.843
442,16270,Australia,1997,37790.755
443,16271,Australia,1998,37893.708
444,16272,Australia,1999,38145.394
445,16273,Australia,2000,38952.217
446,16274,Australia,2001,38450.771
447,16275,Australia,2002,39129.012
448,16276,Australia,2003,39623.672
449,16277,Australia,2004,40503.708
450,16278,Australia,2005,41584.242
451,16279,Australia,2006,40647.579
452,16280,Australia,2007,40926.552
453,16281,Australia,2008,43037.338
454,16282,Australia,2009,40545.819
455,16283,Australia,2010,39742.041
456,16284,Australia,2011,40918.85
457,16285,Australia,2012,42912.914
458,16286,Australia,2013,46016.407
459,16287,Australia,2014,46389.161
460,16288,Australia,2015,42491.924
461,16289,Australia,2016,40973.28
462,16290,Australia,2017,40075.799
463,16291,Australia,2018,40719.953
464,17162,Australia,1990,422.987
465,17163,Australia,1991,446.461
466,17164,Australia,1992,497.858
467,17165,Australia,1993,504.367
468,17166,Australia,1994,563.822
469,17167,Australia,1995,696.507
470,17168,Australia,1996,781.886
471,17169,Australia,1997,821.253
472,17170,Australia,1998,708.9
473,17171,Australia,1999,632.602
474,17172,Australia,2000,634.932
475,17173,Australia,2001,638.919
476,17174,Australia,2002,590.787
477,17175,Australia,2003,560.705
478,17176,Australia,2004,582.909
479,17177,Australia,2005,623.325
480,17178,Australia,2006,654.975
481,17179,Australia,2007,827.654
482,17180,Australia,2008,847.398
483,17181,Australia,2009,834.382
484,17182,Australia,2010,889.299
485,17183,Australia,2011,898.71
486,17184,Australia,2012,872.234
487,17185,Australia,2013,911.821
488,17186,Australia,2014,1026.407
489,17187,Australia,2015,945.764
490,17188,Australia,2016,1124.328
491,17189,Australia,2017,927.662
492,17190,Australia,2018,827.893
493,17829,Australia,1990,37382.881
494,17830,Australia,1991,37590.533
495,17831,Australia,1992,39782.951
496,17832,Australia,1993,38220.638
497,17833,Australia,1994,35835.398
498,17834,Australia,1995,37163.354
499,17835,Australia,1996,37603.998
500,17836,Australia,1997,40350.06
501,17837,Australia,1998,40724.286
502,17838,Australia,1999,37438.3
503,17839,Australia,2000,40396.762
504,17840,Australia,2001,40018.647
505,17841,Australia,2002,38693.53
506,17842,Australia,2003,37258.056
507,17843,Australia,2004,37704.896
508,17844,Australia,2005,38930.471
509,17845,Australia,2006,40110.166
510,17846,Australia,2007,42203.177
511,17847,Australia,2008,42489.175
512,17848,Australia,2009,42427.956
513,17849,Australia,2010,42676.916
514,17850,Australia,2011,41847.449
515,17851,Australia,2012,42260.739
516,17852,Australia,2013,42384.054
517,17853,Australia,2014,41192.653
